optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,10,0.21,72.51,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,11,0.21,73.26,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,12,0.21,73.26,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,13,0.21,73.08,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,14,0.21,72.51,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,15,0.21,73.83,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,16,0.21,74.86,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,17,0.21,73.17,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,18,0.21,73.45,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,19,0.21,72.98,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,20,0.21,72.51,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,21,0.21,73.64,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,22,0.21,73.17,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,23,0.21,73.64,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,24,0.21,72.7,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,25,0.21,72.61,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,26,0.21,73.08,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,1,0.57,76.08,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,2,0.4,77.39,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,3,0.26,76.36,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,4,0.12,78.42,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,5,0.1,78.24,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,6,0.08,77.58,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,7,0.07,78.42,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,8,0.07,78.42,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,9,0.07,78.14,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,10,0.07,78.24,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,11,0.06,78.33,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,12,0.06,78.42,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,13,0.06,78.42,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,14,0.07,78.42,78.89
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,1,0.57,74.77,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,2,0.4,73.55,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,3,0.26,76.36,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,4,0.12,73.64,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,5,0.1,74.3,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,6,0.08,74.11,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,7,0.07,72.61,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,8,0.07,73.55,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,9,0.07,73.36,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,10,0.07,73.73,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,11,0.07,72.89,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,12,0.07,74.58,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.3,2,False,random,100,glove.6B.100d.txt,13,0.07,73.73,75.7
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,1,0.63,76.08,78.33
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,2,0.48,77.11,78.33
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,3,0.36,74.58,78.33
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,4,0.23,76.64,78.33
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,5,0.2,76.74,78.33
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,6,0.18,77.2,78.33
Adam,0.001,0.9,0.0001,32,100,10,CNN,256,"[3, 4, 5]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,7,0.16,77.02,78.33
